data_estacao,id,hora_medicao,uf_medicao,estacao_nome,estacao_cod,temp_hora_celsius,temp_media_dia_celsius,maior_temp_dia_celsius,menor_temp_dia_celsius,precipitacao_media_dia_mm,umidade_relativa_ar_media_dia_procentagem,vento_velocidade_media_dia_m_por_s,vento_rajada_media_da_max_dia_m_por_s,latitude_medicao,longitude_medicao
2020-04-30,3339,00:00,ES,VITORIA,A612,"21,2","20,36","33,7","-28,5",0,"68,12","1,16","3,1",-20.270833,-40.305833
2020-08-28,6219,00:00,ES,VITORIA,A612,NULL,"20,35","35,1","-50,6","0,01","61,68","1,97","4,78",-20.270833,-40.305833
2020-08-29,6243,00:00,ES,VITORIA,A612,"20,7","21,58","35,6",-51,0,"59,1","2,06","5,09",-20.270833,-40.305833
2020-10-04,7107,00:00,ES,VITORIA,A612,"23,4","25,33","41,2","-35,8","0,06","57,27","2,68","6,35",-20.270833,-40.305833
2021-04-29,2058,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"20,07","33,4","-46,1","0,18","72,99","1,8","4,47",-20.909892,-47.114259
2020-03-07,2043,00:00,ES,VITORIA,A612,22,"21,26","33,3","-34,8","0,25","77,52","1,63","4,19",-20.270833,-40.305833
2020-03-13,2187,00:00,ES,VITORIA,A612,NULL,"23,8","36,4","-33,3","0,12","74,23","1,65","4,25",-20.270833,-40.305833
2020-09-24,6867,00:00,ES,VITORIA,A612,"20,2","20,98",35,"-46,7","0,08","71,23","2,06","4,97",-20.270833,-40.305833
2020-12-18,123,00:00,MG,BURITIS,A544,"23,8","24,49","36,8","-17,6","0,21","72,28","1,66","4,54",-15.524167,-46.435556
2020-05-23,3891,00:00,ES,VITORIA,A612,NULL,"20,39",35,"-44,1","0,18","78,77","2,05","5,26",-20.270833,-40.305833
2021-02-15,306,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"23,06","34,6",-29,"0,35","79,46","1,47","4,02",-20.909892,-47.114259
2021-02-02,0,06:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"24,82","38,5","-22,1","0,12","68,63","1,74","4,5",-20.909892,-47.114259
2020-05-08,3531,00:00,ES,VITORIA,A612,"18,9","17,52","27,4","-35,4","0,11","76,96","1,89","4,75",-20.270833,-40.305833
2020-01-17,843,00:00,ES,VITORIA,A612,"27,5","24,29",39,"-16,1","0,59","78,33","2,14","5,41",-20.270833,-40.305833
2021-03-07,786,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"22,29","39,2","-31,1","0,7","83,51","1,42","4,01",-20.909892,-47.114259
2020-01-25,1035,00:00,ES,VITORIA,A612,"24,2","22,38","33,2","-12,4","0,68","80,83","1,99","5,14",-20.270833,-40.305833
2020-04-26,3243,00:00,ES,VITORIA,A612,NULL,"21,09","33,2","-34,8","0,01","71,15","1,71","4,07",-20.270833,-40.305833
2020-08-22,6075,00:00,ES,VITORIA,A612,NULL,"14,65","34,5","-47,4","0,46","81,4","2,69","6,32",-20.270833,-40.305833
2020-12-30,411,00:00,MG,BURITIS,A544,"22,4","24,07","36,1","-18,7","0,09","70,85","1,69","4,41",-15.524167,-46.435556
2021-04-21,1866,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"20,34","32,7","-47,1","0,1","71,74","1,83","4,6",-20.909892,-47.114259
2020-03-09,2091,00:00,ES,VITORIA,A612,"23,2","22,5","34,1","-36,3","0,13","76,08","1,55","4,02",-20.270833,-40.305833
2020-07-05,4923,00:00,ES,VITORIA,A612,NULL,"19,41","32,5","-44,2","0,01","70,55","1,83","4,41",-20.270833,-40.305833
2020-12-13,3,00:00,MG,BURITIS,A544,"20,6","23,77","34,8","-15,1","0,3","75,51","1,69","4,47",-15.524167,-46.435556
2020-03-11,2139,00:00,ES,VITORIA,A612,"24,5","23,45","35,6","-31,6","0,1","74,15","1,79","4,49",-20.270833,-40.305833
2020-04-13,2931,00:00,ES,VITORIA,A612,"23,6","21,26","34,2","-32,2","0,02","74,38","1,86","4,51",-20.270833,-40.305833
2020-07-02,4851,00:00,ES,VITORIA,A612,NULL,"17,42","32,9","-31,6",0,"68,76","1,42","3,72",-20.270833,-40.305833
2021-01-05,2202,00:00,SP,BRAGANCA PAULISTA,A744,"20,3","24,08","36,1",-18,"0,04","74,47","1,47","3,92",-22.951944,-46.530556
2020-02-25,1779,00:00,ES,VITORIA,A612,"24,2","23,68","36,3","-33,7","0,24","81,68","1,54","4,05",-20.270833,-40.305833
2020-03-29,2571,00:00,ES,VITORIA,A612,"23,6","22,8","33,3","-36,3","0,29","78,51","1,54","3,85",-20.270833,-40.305833
2020-12-12,0,21:00,MG,BURITIS,A544,"22,1","23,32","35,1","-15,7","0,2","79,07","1,52","3,96",-15.524167,-46.435556
2021-04-23,1914,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"20,4","33,9","-45,1","0,01","68,82","1,58","4,02",-20.909892,-47.114259
2020-07-21,5307,00:00,ES,VITORIA,A612,NULL,"19,4",32,"-45,5","0,02","66,33","1,53","3,84",-20.270833,-40.305833
2020-11-16,8139,00:00,ES,VITORIA,A612,NULL,"24,01","36,6","-25,6","0,21","75,14","1,74","4,63",-20.270833,-40.305833
2020-06-15,4443,00:00,ES,VITORIA,A612,NULL,"18,86","29,9","-45,9","0,06","75,04","2,41","5,7",-20.270833,-40.305833
2020-04-06,2763,00:00,ES,VITORIA,A612,"22,6","23,45","35,8","-40,5","0,02","74,23","1,53","3,85",-20.270833,-40.305833
2020-05-30,4059,00:00,ES,VITORIA,A612,NULL,"16,85","29,7","-33,9",0,"68,73","1,35","3,42",-20.270833,-40.305833
2020-08-13,5859,00:00,ES,VITORIA,A612,NULL,"21,46","36,1",-33,"0,01","62,44","2,11","5,13",-20.270833,-40.305833
2020-08-20,6027,00:00,ES,VITORIA,A612,NULL,"20,52","35,5","-45,8","0,04","69,28","2,13","5,19",-20.270833,-40.305833
2020-12-16,75,00:00,MG,BURITIS,A544,"22,1","24,79","36,1",-14,"0,07","69,75","1,67","4,44",-15.524167,-46.435556
2021-03-21,1122,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"23,32","35,1","-33,2","0,03","71,75","1,76","4,45",-20.909892,-47.114259
2020-08-16,5931,00:00,ES,VITORIA,A612,NULL,"21,17","35,9","-44,4","0,09","67,08","1,87","4,75",-20.270833,-40.305833
2020-09-03,6363,00:00,ES,VITORIA,A612,"19,6","21,54","36,3","-41,6",0,"58,15","2,18","5,31",-20.270833,-40.305833
2020-09-16,6675,00:00,ES,VITORIA,A612,"22,1","22,73","37,3","-36,3","0,01","57,85","2,22","5,42",-20.270833,-40.305833
2020-11-09,7971,00:00,ES,VITORIA,A612,"25,1","24,41","38,8","-27,8","0,16","65,59","2,05","5,13",-20.270833,-40.305833
2021-02-05,66,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"24,07","38,3","-20,3","0,58","77,5","1,81","4,98",-20.909892,-47.114259
2020-05-25,3939,00:00,ES,VITORIA,A612,NULL,"17,11","31,4","-45,3","0,23","78,54","1,66","4,43",-20.270833,-40.305833
2021-02-10,186,00:00,MG,SAO SEBASTIAO DO PARAISO,A561,NULL,"22,37","35,6","-25,8","0,17","75,85","1,74","4,48",-20.909892,-47.114259
2020-04-23,3171,00:00,ES,VITORIA,A612,"21,2","20,8","31,4","-41,7","0,02","74,75","1,45","3,67",-20.270833,-40.305833
2020-05-19,3795,00:00,ES,VITORIA,A612,NULL,"19,61","30,8","-38,2","0,02","72,53","1,99","4,69",-20.270833,-40.305833
2020-10-30,7731,00:00,ES,VITORIA,A612,NULL,"22,18","35,9","-30,3","0,63","81,14","2,23","5,57",-20.270833,-40.305833
2021-01-19,2538,00:00,SP,BRAGANCA PAULISTA,A744,"24,4","24,49","36,6","-16,4","0,18","68,16","1,88","4,73",-22.951944,-46.530556
2020-06-10,4323,00:00,ES,VITORIA,A612,NULL,"21,08","32,4",-45,"0,01","73,5","1,41","3,53",-20.270833,-40.305833
2020-07-12,5091,00:00,ES,VITORIA,A612,NULL,"19,73","33,7","-45,9",0,"65,01","1,71","4,27",-20.270833,-40.305833
2020-11-19,8211,00:00,ES,VITORIA,A612,NULL,"21,77","33,7","-18,7","0,69","84,71","1,88","4,84",-20.270833,-40.305833
2020-02-21,1683,00:00,ES,VITORIA,A612,"26,1","24,06","37,9","-25,7","0,58","79,96","1,62","4,37",-20.270833,-40.305833
2020-05-06,3483,00:00,ES,VITORIA,A612,"22,6","20,88","33,6","-44,1","0,02","70,72","1,51","3,81",-20.270833,-40.305833
2020-12-24,267,00:00,MG,BURITIS,A544,"20,6","22,38","35,3",-17,"0,46","80,33","1,79","4,57",-15.524167,-46.435556
2020-08-24,6123,00:00,ES,VITORIA,A612,NULL,"16,82","32,7","-39,3","0,01","66,11","2,32","5,5",-20.270833,-40.305833
2021-01-27,2730,00:00,SP,BRAGANCA PAULISTA,A744,"21,6","24,98",39,"-21,2","0,04","63,65","2,1","5,29",-22.951944,-46.530556
2020-01-21,939,00:00,ES,VITORIA,A612,"21,6","22,73","34,4","-16,7","0,31","79,04","1,76","4,56",-20.270833,-40.305833
2020-07-24,5379,00:00,ES,VITORIA,A612,NULL,"18,93","31,7","-40,8","0,01","64,5","1,94","4,67",-20.270833,-40.305833
2020-08-05,5667,00:00,ES,VITORIA,A612,NULL,"17,4","30,6","-42,1","0,02","63,52","2,15","5,06",-20.270833,-40.305833
2020-11-29,8451,00:00,ES,VITORIA,A612,NULL,"23,88","37,8","-23,8","0,04","65,35","2,2","5,46",-20.270833,-40.305833
